B0531+21   17-Apr-15  113000.00   57129.47916666660            56.778524  0.834 -7.671
    186216815.424646   29.668855443614  aro  300   12   327.000                
  1.39771817242990526e-08 -2.87695413380940457e-01  3.06685088298629632e-06
 -3.32623748983836278e-09 -5.04513040084075049e-12  3.24366808144164297e-15
  3.29563336558681950e-18 -6.14783855507014426e-21 -4.00854324381822975e-24
  1.66053857313032541e-25  4.30759103608211653e-29 -2.11637889370712565e-30
B0531+21   17-Apr-15  163000.00   57129.68749999990            56.778534  0.829 -7.993
    186750768.668988   29.668855443614  aro  300   12   327.000                
  2.14274324247089927e-09 -2.87131153184804144e-01 -1.49173642045946204e-06
 -5.30497479778002716e-09  2.23394397345056424e-12  5.06676511594479049e-15
 -1.48136771028714603e-18 -1.85100344227082391e-21  3.53260271421296420e-24
  6.42973177302298163e-27 -5.92881756436970848e-29 -3.28555998556267605e-31
B0531+21   17-Apr-15  213000.00   57129.89583333320            56.778544  0.837 -7.987
    187284721.678984   29.668855443614  aro  300   12   327.000                
 -1.63715552271113539e-09 -2.89042977482179997e-01 -3.96529128442155570e-06
  6.22349791427188190e-10  6.18488101031023600e-12 -6.09120205481815817e-16
 -3.97507043859674298e-18  1.25719279049045433e-21  2.45236268259741126e-24
 -2.64757737585124476e-26 -1.29394669868218413e-29  2.90926045087903930e-31
B0531+21   18-Apr-15   23000.00   57130.10416666660            56.778553  0.844 -7.665
    187818674.070096   29.668855443614  aro  300   12   327.000                
  1.06664162625597769e-08 -2.90664077210064709e-01 -6.64942244283374037e-07
  5.62828216446263158e-09  9.23179041081848118e-13 -5.34087128144140360e-15
 -3.82324108967755355e-19 -1.04601437772611648e-21 -8.92318245173410650e-24
  1.21428161003831833e-25  1.45455251177401622e-28 -1.55100294116618820e-30
B0531+21   18-Apr-15   73000.00   57130.31249999990            56.778563  0.836 -7.979
    188352626.355414   29.668855443614  aro  300   12   327.000                
  1.47422964136436187e-09 -2.89657592143647891e-01  3.49917072520698721e-06
  2.25801184779764270e-09 -5.71239193112798012e-12 -2.17731318710676161e-15
  3.67231890307813567e-18  1.97047416170080141e-21 -2.21855233483252023e-24
 -1.57193908117396592e-26  9.28280552992466266e-30 -2.36562658535740529e-32
B0531+21   18-Apr-15  113000.00   57130.47916666660            56.778571  0.825 -7.668
    188779788.568889   29.668855443614  aro  300   12   327.000                
  1.04454271238367188e-08 -2.87921229855073346e-01  3.04331843361946907e-06
 -3.40514631590235044e-09 -4.98355483922837942e-12  3.31524332091159583e-15
  3.47882347749464310e-18 -6.01434624659658569e-21 -1.47794863255138662e-23
  1.66703171549516922e-25  2.22132573784299480e-28 -2.22353970883472879e-30
B0531+21   18-Apr-15  163000.00   57130.68749999990            56.778581  0.820 -7.997
    189313741.741898   29.668855443614  aro  300   12   327.000                
  4.29372436888348708e-09 -2.87383237450910434e-01 -1.53802565340870708e-06
 -5.26921984580578368e-09  2.33167857711669460e-12  5.03909915509573570e-15
 -1.35959036586402655e-18 -2.24744210958419328e-21 -4.47341714095955634e-24
  1.90552529924092626e-26  6.51493242980805484e-29 -4.87107775414528628e-31
B0531+21   18-Apr-15  213000.00   57130.89583333320            56.778591  0.828 -7.980
    189847694.673750   29.668855443614  aro  300   12   327.000                
 -8.68838517485568318e-10 -2.89304622881102647e-01 -3.94140403938791145e-06
  7.19320523390584683e-10  6.17300743386527984e-12 -6.84735428353767488e-16
 -4.03138621759949752e-18 -2.25782556727665774e-22  4.81256958410275971e-24
  3.76092423745322035e-26 -4.19842553969225351e-29 -7.27058980444464631e-31
B0531+21   19-Apr-15   23000.00   57131.10416666660            56.778601  0.835 -7.665
    190381646.990826   29.668855443614  aro  300   12   327.000                
