B0531+21   17-Apr-15   63000.00   57129.27083333330            56.778514  0.837 -7.669
    185682862.707116   29.668855443614   jb  300   12   327.000                
  1.36319379850115263e-08 -2.87770010671979548e-01  2.60538523679382307e-06
 -2.90284069612505970e-09 -4.31400495639480248e-12  2.83027490421540727e-15
  2.80883378535273110e-18 -4.90191455396831562e-21 -3.38295487247918465e-24
  1.17691177420049463e-25  3.75426183556219067e-29 -1.37799606506454824e-30
B0531+21   17-Apr-15  113000.00   57129.47916666660            56.778524  0.832 -7.985
    186216815.903623   29.668855443614   jb  300   12   327.000                
  3.85372263647890015e-09 -2.87311421104247011e-01 -1.33142712060198313e-06
 -4.55093584000915945e-09  1.97131120308446391e-12  4.32993148229411348e-15
 -1.17882313857147376e-18  2.36543391906454900e-22 -2.00807604080081735e-24
 -7.57370179447121778e-26  2.06760109064053710e-29  1.01004103401983312e-30
B0531+21   17-Apr-15  163000.00   57129.68749999990            56.778534  0.839 -7.989
    186750768.890642   29.668855443614   jb  300   12   327.000                
 -4.64887016405287376e-09 -2.88976957393167311e-01 -3.42703952655153363e-06
  5.84105064587071439e-10  5.32155430756200088e-12 -5.79915375547374715e-16
 -3.48679408284165832e-18  1.55523425631942806e-21  4.49478064581789662e-24
 -2.61603267811254115e-26 -4.03877658941947195e-29  1.25041868462745529e-31
B0531+21   17-Apr-15  213000.00   57129.89583333330            56.778544  0.845 -7.666
    187284721.342446   29.668855443614   jb  300   12   327.000                
  1.64690445425374282e-08 -2.90369643469998384e-01 -5.55412526039769599e-07
  4.85472539703283741e-09  7.44989533947282569e-13 -4.59483019714831725e-15
 -4.78005205200736254e-19 -1.64529070998772333e-21  8.89533399513463667e-25
  1.20657600562746395e-25 -1.98891507474700513e-29 -1.37435780130110925e-30
B0531+21   18-Apr-15   23000.00   57130.10416666660            56.778553  0.838 -7.986
    187818673.705417   29.668855443614   jb  300   12   327.000                
  2.10731056462368552e-09 -2.89495816882283763e-01  3.01183851530853320e-06
  1.90124223605954854e-09 -4.94212614595313908e-12 -1.83093114669660842e-15
  3.36723123768074659e-18  1.86663875665568013e-21 -1.02242663048332055e-23
 -3.49429978770205451e-26  1.35258342480526435e-28  4.69489401640326890e-31
B0531+21   18-Apr-15   63000.00   57130.27083333330            56.778561  0.827 -7.671
    188245835.927449   29.668855443614   jb  300   12   327.000                
  1.55748188546403954e-08 -2.88009159081132116e-01  2.58699085015703654e-06
 -2.97031116775496719e-09 -4.25805688649434705e-12  2.89231117391877032e-15
  2.69242002374142826e-18 -4.91819801178361002e-21  9.54071402454084665e-25
  1.23523893792003370e-25 -4.20089686618064732e-29 -1.53294176034348992e-30
B0531+21   18-Apr-15  113000.00   57130.47916666660            56.778571  0.823 -7.993
    188779789.049307   29.668855443614   jb  300   12   327.000                
  2.52908574481801362e-09 -2.87571881050291134e-01 -1.36876363623743979e-06
 -4.51931358493679753e-09  2.05646576464047039e-12  4.29895001498251112e-15
 -1.19137183201159305e-18  1.06612628699030738e-22 -4.45120519699391556e-24
 -6.56266985411233006e-26  6.77892034654858927e-29  8.18660485030113499e-31
B0531+21   18-Apr-15  163000.00   57130.68749999990            56.778581  0.830 -7.984
    189313741.956264   29.668855443614   jb  300   12   327.000                
 -3.36643216931938201e-09 -2.89243987187884688e-01 -3.40358619464322031e-06
  6.67586440843976132e-10  5.30998790840198940e-12 -6.55005171548952102e-16
 -3.49140151272731217e-18  8.93080741462850021e-22  5.05400048455052563e-24
  1.06391255965546172e-26 -5.10493738906206605e-29 -5.25710548117303117e-31
B0531+21   18-Apr-15  213000.00   57130.89583333330            56.778591  0.835 -7.667
    189847694.332047   29.668855443614   jb  300   12   327.000                
  1.60973884441675535e-08 -2.90604278526865101e-01 -4.82098532491550561e-07
  4.86561347070987654e-09  6.52840405537994600e-13 -4.60490763266408400e-15
 -3.25487989938478982e-19 -1.93475342579041102e-21 -3.91696015949768237e-24
  1.45397293736033577e-25  6.46770244458566310e-29 -1.93294971765296927e-30
B0531+21   19-Apr-15   23000.00   57131.10416666660            56.778601  0.828 -7.982
    190381646.630796   29.668855443614   jb  300   12   327.000                
  2.49536435891506447e-09 -2.89692982143694433e-01  3.04967476939236901e-06
  1.82315946928082876e-09 -4.97607910463554784e-12 -1.75655078084917600e-15
  3.28747129979497477e-18  1.73554455793796273e-21 -5.77375561448847272e-24
 -2.66505868895473077e-26  6.50774735034198805e-29  2.84953721933965154e-31
B0531+21   19-Apr-15   63000.00   57131.27083333330            56.778609  0.818 -7.670
    190808808.806555   29.668855443614   jb  300   12   327.000                
  1.59663569384064873e-08 -2.88202292066232824e-01  2.56735458829617459e-06
 -3.03700804541757599e-09 -4.20237614131536200e-12  2.96783868392320838e-15
  2.73888066289098198e-18 -5.95042589312112725e-21 -2.59958957083548843e-24
  1.56269131465863024e-25  1.61470258694205795e-29 -1.87395292333504185e-30
B0531+21   19-Apr-15  113000.00   57131.47916666660            56.778618  0.813 -7.986
    191342761.867488   29.668855443614   jb  300   12   327.000                
 -6.15344992926973805e-10 -2.87786753076660407e-01 -1.40620952833569845e-06
 -4.48649866373583095e-09  2.14192376914335566e-12  4.28486359775428430e-15
 -1.30224617737648693e-18 -1.38152777036654906e-21 -2.16506309436989565e-24
 -7.23054891672024024e-27  3.39332037605416394e-29 -2.35696596692886570e-32
B0531+21   19-Apr-15  163000.00   57131.68749999990            56.778628  0.820 -7.991
    191876714.708077   29.668855443614   jb  300   12   327.000                
 -6.01793264593447402e-09 -2.89465248941264242e-01 -3.37965883872878841e-06
  7.50862727159369434e-10  5.29596662771017182e-12 -7.41295683382622471e-16
