B0531+21   13-Jul-15   60000.00   57216.25000000000             0.000288 -0.441 -8.457
     72392926.945175   29.664667017462  aro  300   12   610.000                
  2.72389657567605453e-09  2.43037918682833323e-02  3.29365206468185144e-06
 -3.57164225323814552e-09 -4.84386531981431968e-12  3.41144481794225317e-15
  3.10810104703109093e-18 -9.81244659082840218e-22 -2.44374359178733613e-24
 -2.51364507572476683e-26  2.92259858984973342e-29  4.04062388805603014e-31
B0531+21   13-Jul-15  110000.00   57216.45833333330             0.000286 -0.446 -8.470
     72926898.413456   29.664667017462  aro  300   12   610.000                
 -4.09086671166204448e-10  2.49664342343379614e-02 -1.33562960244640710e-06
 -5.19491978429526431e-09  2.53913113207269085e-12  4.96126933232295908e-15
 -1.71600643910017680e-18 -1.08370793720691437e-21  5.85304386755893200e-24
 -5.67363013038922915e-26 -9.72859253582998849e-29  9.54850472684655512e-31
B0531+21   13-Jul-15  160000.00   57216.66666666660             0.000283 -0.439 -8.535
     73460869.680156   29.664667017462  aro  300   12   610.000                
 -1.34381799913837249e-09  2.32040086521955111e-02 -3.59504225310927122e-06
  9.15849891700946303e-10  6.14121492502294564e-12 -8.52962206718296683e-16
 -4.04482514582415884e-18 -2.08519236963146824e-21  8.21031849015850679e-24
  1.06266368872610447e-25 -1.27122455755595571e-28 -1.64886272186960844e-30
B0531+21   13-Jul-15  210000.00   57216.87500000000             0.000281 -0.434 -8.446
     73994840.393939   29.664667017462  aro  300   12   610.000                
  2.24203184250900495e-09  2.18690131552505343e-02 -1.22014979503193238e-07
  5.66021041766580596e-09  5.98265706944743947e-13 -5.44181712111210481e-15
 -4.65127658113788239e-19  4.50361753155206765e-21  3.47485460827218045e-24
 -8.24309939906149484e-26 -4.72009780932206483e-29  1.21451995087265966e-30
B0531+21   14-Jul-15   20000.00   57217.08333333330             0.000279 -0.443 -8.465
     74528811.094641   29.664667017462  aro  300   12   610.000                
 -2.54576829697100260e-09  2.31759621575250464e-02  3.90873809320288679e-06
  1.97204991613520878e-09 -5.83597213383037017e-12 -1.89120883969223108e-15
