1932+1059   9-Jun-14  213000.00   56817.89583333330             3.180054 -0.523 -8.992
   3926746731.749648    4.414667316440   hn  300   12   327.000                
 -5.25333059528340651e-10  1.26531110376839357e-02  4.26006705046278174e-07
 -5.47619124982773185e-10 -8.40831999600437944e-13  5.20880435827579496e-16
  5.28830395296024578e-19  2.99860809565095086e-23  1.66369401191302716e-25
 -1.04283278716439395e-26 -6.03971049213960803e-30  1.51163314185597696e-31
1932+1059  10-Jun-14   23000.00   56818.10416666660             3.180054 -0.525 -9.212
   3926826199.575610    4.414667316440   hn  300   12   327.000                
 -3.54423136252849936e-10  1.26975827737611444e-02 -3.29631125483110190e-07
 -8.83358266093233602e-10  3.64049595703563536e-13  8.48809490413457457e-16
 -2.23161240712025985e-19 -6.16290914954028055e-22 -3.41683256704663234e-25
  6.69729231795377521e-27  7.21407877225507667e-30 -6.96248592198530195e-32
1932+1059  10-Jun-14   73000.00   56818.31249999990             3.180054 -0.511 -9.236
   3926905667.347808    4.414667316440   hn  300   12   327.000                
  4.69093819322101229e-10  1.23297042389480076e-02 -7.45312420621866111e-07
  9.60978276980488289e-11  1.02677820939400261e-12 -8.80604419032478660e-17
 -6.39976516627084937e-19 -3.19588757598183635e-22 -5.32500639388237387e-25
  1.41667981581616778e-26  1.26149672087288905e-29 -2.07703448261057346e-31
1932+1059  10-Jun-14  123000.00   56818.52083333330             3.180054 -0.499 -9.016
   3926985135.001597    4.414667316440   hn  300   12   327.000                
 -2.47229569967542809e-10  1.20066738467511005e-02 -2.02312890915163822e-07
  9.32046193768453395e-10  1.60526405786903907e-13 -8.93128921126191216e-16
 -1.23429709677005770e-19  4.64884632344264742e-22  9.03517774075577514e-25
 -2.04992537653250730e-27 -1.29706714711142642e-29  2.48752856552708243e-32
1932+1059  10-Jun-14  173000.00   56818.72916666660             3.180054 -0.503 -9.162
   3927064602.621384    4.414667316440   hn  300   12   327.000                
 -7.87162188722617689e-10  1.21186918607862956e-02  4.90342867267140592e-07
  3.79486109741660525e-10 -9.44946123408617504e-13 -3.60023546544621585e-16
  5.95392536269693600e-19 -6.54945115621180827e-23  1.08803893363276919e-25
  6.70667091380021808e-27 -4.58535703548110547e-30 -7.11557503623974186e-32
1932+1059  10-Jun-14  213000.00   56818.89583333330             3.180054 -0.512 -8.983
   3927128176.769425    4.414667316440   hn  300   12   327.000                
 -5.87882585347121461e-10  1.23643735601254821e-02  4.18368330391639590e-07
 -5.60761970998154836e-10 -8.30492127842470711e-13  5.35452670851659722e-16
  5.29477361032705592e-19 -1.62238217029905645e-22 -8.06755748686480840e-26
 -2.74728206109020360e-27 -3.08240877382968511e-30  3.60478145312073934e-32
1932+1059  11-Jun-14   23000.00   56819.10416666660             3.180054 -0.514 -9.176
   3927207644.507832    4.414667316440   hn  300   12   327.000                
 -8.78367962272465474e-10  1.24022295125988859e-02 -3.41110179417830053e-07
 -8.77485482069548882e-10  3.80709832239653500e-13  8.42136420521828597e-16
 -2.43302313592403801e-19 -5.50438870729018947e-22  7.74781972740200168e-26
  4.90232927136724423e-27  3.74054432240298214e-31 -4.78685617280281002e-32
1932+1059  11-Jun-14   73000.00   56819.31249999990             3.180053 -0.500 -9.319
   3927287112.190663    4.414667316440   hn  300   12   327.000                
  2.37214068371771050e-10  1.20304734657180560e-02 -7.45172055003711948e-07
  1.12244182990872291e-10  1.02500251493695346e-12 -1.05114520413094257e-16
 -6.60595199699663808e-19 -1.67993106966470776e-22  4.74044158098506753e-25
